Data operacji,Data waluty,Typ transakcji,Kwota,Waluta,Saldo po transakcji,Opis transakcji
03-02-26,02-28-26,P³atnoœæ kart¹,-28.00,PLN,3492.74,Tytu³: 550884616 411689636403077000000,Lokalizacja: Adres: BAR MLECZNY LINDLEYA 1 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-28,Oryginalna kwota operacji: 28.00,Numer karty: 1234567******1234
03-02-26,02-28-26,P³atnoœæ kart¹,-46.78,PLN,3520.74,Tytu³: 492245876498909100000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 4363 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-28,Oryginalna kwota operacji: 46.78,Numer karty: 1234567******1234
03-02-26,02-28-26,P³atnoœæ kart¹,-4.98,PLN,3567.52,Tytu³: 710033203 398203452768344150000,Lokalizacja: Adres: ZABKA Z7197 K.2 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-28,Oryginalna kwota operacji: 4.98,Numer karty: 1234567******1234
02-28-26,02-26-26,P³atnoœæ kart¹,-6.40,PLN,3581.00,Tytu³: 716624069716281500000,Lokalizacja: Adres: GROMULSKI PIEKARNIA-CUK. Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-26,Oryginalna kwota operacji: 6.40,Numer karty: 1234567******1234
02-27-26,02-25-26,P³atnoœæ kart¹,-52.25,PLN,3753.15,Tytu³: 813368535 440276376509841100000,Lokalizacja: Adres: BAR MLECZNY PRZYSTANEK Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-25,Oryginalna kwota operacji: 52.25,Numer karty: 1234567******1234
02-27-26,02-25-26,P³atnoœæ kart¹,-95.54,PLN,3805.40,Tytu³: 256255503891619200000,Lokalizacja: Adres: JMP S.A. BIEDRONKA 4363 Miasto: WARSZAWA Kraj: POLSKA,Data wykonania operacji: 2026-02-25,Oryginalna kwota operacji: 95.54,Numer karty: 1234567******1234
,,,,,,,,,,
,,,,,,,,,,
,,X,,,,,,,,
,,Y,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
